"Geographic Area Name (NAME)","2017 NAICS Code (NAICS)","Meaning of NAICS Code (NAICS_LABEL)","Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Number of employees (EMP)","(DHS) denominator (DENOM)","Number of establishments born during the last 12 months (ESTABS_ENTRY)","Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE)","Number of establishments exited during the last 12 months (ESTABS_EXIT)","Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE)","Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION)","Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS)","Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS)","Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS)","Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE)","Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION)","Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS)","Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS)","Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS)","Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE)","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION)","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE)","Rate of reallocation during the last 12 months (REALLOCATION_RATE)","Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS)","Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS)","Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)"
"Idaho","00","Total for all sectors","Total","2011","30,995","37,803","481,963","485,430","3,806","9.964","4,596","12.032","59,974","19,584","40,390","4.034","12.355","66,424","21,555","44,869","4.440","13.684","−6,450","−1.329","24.710","2,872","2,962","14,002"
"Idaho","00","Total for all sectors","Total","2012","31,085","37,877","494,657","488,289","3,963","10.474","3,880","10.255","71,135","23,356","47,779","4.783","14.568","58,165","21,998","36,167","4.505","11.912","12,970","2.656","23.824","2,379","2,417","10,473"
"Idaho","00","Total for all sectors","Total","2013","31,304","38,142","515,471","505,379","3,982","10.478","3,706","9.752","73,537","22,923","50,614","4.536","14.551","53,716","19,136","34,580","3.786","10.629","19,821","3.922","21.258","2,406","2,423","11,584"
"Idaho","00","Total for all sectors","Total","2014","31,996","39,041","532,969","523,632","4,219","10.932","3,321","8.605","77,380","23,037","54,343","4.399","14.778","58,731","22,527","36,204","4.302","11.216","18,649","3.561","22.432","2,166","2,207","9,269"
"Idaho","00","Total for all sectors","Total","2015","32,522","39,786","548,700","541,092","4,205","10.668","3,468","8.798","72,399","22,438","49,961","4.147","13.380","57,594","21,628","35,966","3.997","10.644","14,805","2.736","21.288","2,238","2,270","10,376"
"Idaho","00","Total for all sectors","Total","2016","33,231","40,741","565,610","556,825","4,425","10.993","3,451","8.573","76,504","23,520","52,984","4.224","13.739","58,993","18,047","40,946","3.241","10.595","17,511","3.145","21.189","2,289","2,345","10,251"
"Idaho","00","Total for all sectors","Total","2017","33,783","41,384","580,569","572,537","4,378","10.663","3,727","9.077","81,839","27,709","54,130","4.840","14.294","66,001","22,928","43,073","4.005","11.528","15,838","2.766","23.056","2,327","2,361","10,930"
"Idaho","00","Total for all sectors","Total","2018","34,986","42,709","598,930","589,764","4,775","11.357","3,444","8.192","83,264","27,237","56,027","4.618","14.118","64,459","19,220","45,239","3.259","10.930","18,805","3.189","21.859","2,322","2,387","11,818"
"Idaho","00","Total for all sectors","Total","2019","36,267","44,065","616,614","607,467","4,993","11.506","3,649","8.409","76,909","27,915","48,994","4.595","12.661","58,663","18,838","39,825","3.101","9.657","18,246","3.004","19.314","2,598","2,641","10,964"
"Idaho","00","Total for all sectors","Total","2020","36,898","44,841","635,902","626,285","4,977","11.196","4,202","9.453","80,337","28,397","51,940","4.534","12.828","61,309","20,251","41,058","3.234","9.789","19,028","3.038","19.579","3,155","3,210","13,554"
"Illinois","00","Total for all sectors","Total","1978","179,096","209,702","4,049,286","3,949,852","26,892","12.981","21,807","10.527","704,205","213,019","491,186","5.393","17.829","503,933","186,010","317,923","4.709","12.758","200,272","5.070","25.517","14,964","15,215","86,356"
"Illinois","00","Total for all sectors","Total","1979","182,457","213,783","4,230,523","4,148,786","25,215","11.894","21,643","10.209","705,809","212,466","493,343","5.121","17.012","538,294","175,456","362,838","4.229","12.975","167,515","4.038","25.949","14,820","15,072","81,746"
"Illinois","00","Total for all sectors","Total","1980","182,819","214,726","4,155,260","4,191,809","23,959","11.180","23,124","10.790","546,523","190,194","356,329","4.537","13.038","622,014","169,150","452,864","4.035","14.839","−75,491","−1.801","26.076","16,481","16,686","88,211"
"Illinois","00","Total for all sectors","Total","1981","182,452","215,243","4,081,030","4,119,790","23,786","11.067","23,148","10.770","547,482","203,415","344,067","4.938","13.289","625,165","168,526","456,639","4.091","15.175","−77,683","−1.886","26.578","16,676","16,928","96,394"
"Illinois","00","Total for all sectors","Total","1982","180,192","213,510","3,893,830","3,976,907","23,008","10.733","24,704","11.525","503,545","185,201","318,344","4.657","12.662","669,069","196,623","472,446","4.944","16.824","−165,524","−4.162","25.323","17,375","17,663","100,109"
"Illinois","00","Total for all sectors","Total","1983","183,198","216,843","3,851,099","3,876,346","25,626","11.905","22,433","10.422","592,353","221,468","370,885","5.713","15.281","645,919","181,844","464,075","4.691","16.663","−53,566","−1.382","30.562","15,546","15,843","89,674"
"Illinois","00","Total for all sectors","Total","1984","186,429","220,752","3,989,807","3,919,422","27,150","12.408","23,284","10.641","661,753","215,608","446,145","5.501","16.884","516,807","203,381","313,426","5.189","13.186","144,946","3.698","26.372","16,822","17,057","119,975"
"Illinois","00","Total for all sectors","Total","1985","187,453","222,084","4,081,568","4,037,887","26,417","11.932","25,058","11.318","682,874","231,547","451,327","5.734","16.912","597,516","241,244","356,272","5.975","14.798","85,358","2.114","29.595","17,916","18,309","124,289"
"Illinois","00","Total for all sectors","Total","1986","190,175","226,194","4,188,341","4,135,330","27,228","12.151","23,010","10.268","670,686","226,645","444,041","5.481","16.218","565,501","182,400","383,101","4.411","13.675","105,185","2.544","27.350","16,305","16,573","107,205"
"Illinois","00","Total for all sectors","Total","1987","192,063","229,689","4,208,757","4,213,563","28,838","12.653","25,302","11.101","695,045","256,683","438,362","6.092","16.495","705,214","237,148","468,066","5.628","16.737","−10,169","−0.241","32.991","17,363","17,663","109,564"
"Illinois","00","Total for all sectors","Total","1988","195,685","235,173","4,378,374","4,295,609","28,818","12.391","23,602","10.149","758,803","262,848","495,955","6.119","17.665","593,530","208,087","385,443","4.844","13.817","165,273","3.847","27.634","16,190","16,464","105,681"
"Illinois","00","Total for all sectors","Total","1989","198,913","239,988","4,519,431","4,451,949","28,826","12.131","24,077","10.133","744,818","273,754","471,064","6.149","16.730","611,178","206,079","405,099","4.629","13.728","133,640","3.002","27.457","16,403","16,855","107,364"
"Illinois","00","Total for all sectors","Total","1990","202,821","244,994","4,647,374","4,593,583","27,910","11.508","22,979","9.475","698,664","237,530","461,134","5.171","15.210","591,205","190,003","401,202","4.136","12.870","107,459","2.339","25.740","16,298","16,620","103,561"
"Illinois","00","Total for all sectors","Total","1991","202,608","247,260","4,593,416","4,620,775","27,808","11.303","25,349","10.303","660,725","255,818","404,907","5.536","14.299","716,714","236,127","480,587","5.110","15.511","−55,989","−1.212","28.598","17,678","18,085","141,703"
"Illinois","00","Total for all sectors","Total","1992","203,066","248,602","4,556,281","4,566,630","26,918","10.866","25,166","10.159","689,965","230,464","459,501","5.047","15.109","709,921","239,931","469,990","5.254","15.546","−19,956","−0.437","30.218","16,290","16,661","124,453"
"Illinois","00","Total for all sectors","Total","1993","206,855","251,807","4,621,901","4,591,595","26,263","10.496","23,065","9.218","695,222","214,883","480,339","4.680","15.141","630,903","191,717","439,186","4.175","13.740","64,319","1.401","27.481","15,234","15,627","92,343"
"Illinois","00","Total for all sectors","Total","1994","210,450","256,680","4,747,789","4,692,616","27,608","10.852","23,045","9.059","707,629","233,241","474,388","4.970","15.080","596,499","201,619","394,880","4.297","12.711","111,130","2.368","25.423","15,905","16,243","103,466"
"Illinois","00","Total for all sectors","Total","1995","214,592","262,092","4,896,499","4,817,747","28,782","11.098","23,303","8.985","750,858","261,147","489,711","5.421","15.585","592,796","194,458","398,338","4.036","12.304","158,062","3.281","24.609","15,775","16,164","101,679"
"Illinois","00","Total for all sectors","Total","1996","215,936","264,663","4,891,674","4,868,346","28,428","10.817","24,737","9.412","707,329","243,649","463,680","5.005","14.529","661,918","194,641","467,277","3.998","13.596","45,411","0.933","27.193","17,027","17,467","101,523"
"Illinois","00","Total for all sectors","Total","1997","217,187","266,397","5,000,122","4,955,769","28,929","10.894","27,238","10.257","796,597","266,695","529,902","5.382","16.074","709,106","247,733","461,373","4.999","14.309","87,491","1.765","28.617","17,776","18,295","121,805"
"Illinois","00","Total for all sectors","Total","1998","220,192","270,650","5,190,649","5,127,835","27,709","10.300","24,448","9.088","789,714","250,661","539,053","4.888","15.401","661,905","210,115","451,790","4.098","12.908","127,809","2.492","25.816","15,914","16,306","99,632"
"Illinois","00","Total for all sectors","Total","1999","220,800","272,799","5,326,988","5,265,096","27,092","9.969","25,006","9.202","792,603","267,564","525,039","5.082","15.054","666,054","214,439","451,615","4.073","12.650","126,549","2.404","25.301","16,221","16,695","105,386"
"Illinois","00","Total for all sectors","Total","2000","221,187","274,189","5,440,692","5,388,844","27,214","9.949","25,924","9.477","849,791","262,736","587,055","4.876","15.769","747,177","285,708","461,469","5.302","13.865","102,614","1.904","27.731","16,278","16,737","111,033"
"Illinois","00","Total for all sectors","Total","2001","220,278","274,072","5,375,605","5,412,595","26,337","9.608","26,403","9.632","748,183","259,952","488,231","4.803","13.823","823,246","272,397","550,849","5.033","15.210","−75,063","−1.387","27.646","16,677","17,329","115,878"
"Illinois","00","Total for all sectors","Total","2002","218,845","273,530","5,174,291","5,289,864","29,625","10.805","30,921","11.278","784,309","313,479","470,830","5.926","14.827","1,018,696","348,832","669,864","6.594","19.258","−234,387","−4.431","29.653","17,399","18,052","165,063"
"Illinois","00","Total for all sectors","Total","2003","222,188","277,421","5,205,622","5,189,780","29,217","10.608","25,246","9.166","766,018","243,842","522,176","4.699","14.760","734,873","240,112","494,761","4.627","14.160","31,145","0.600","28.320","16,067","16,410","111,784"
"Illinois","00","Total for all sectors","Total","2004","223,131","278,538","5,218,721","5,212,727","28,284","10.175","27,168","9.773","728,535","225,504","503,031","4.326","13.976","714,711","236,837","477,874","4.543","13.711","13,824","0.265","27.422","16,792","17,514","112,876"
"Illinois","00","Total for all sectors","Total","2005","225,393","281,928","5,232,920","5,225,127","30,357","10.832","27,004","9.636","714,423","258,794","455,629","4.953","13.673","698,080","223,009","475,071","4.268","13.360","16,343","0.313","26.720","17,160","17,575","116,844"
"Illinois","00","Total for all sectors","Total","2006","228,450","287,173","5,354,916","5,297,928","32,818","11.534","27,544","9.680","789,981","284,173","505,808","5.364","14.911","676,968","239,428","437,540","4.519","12.778","113,013","2.133","25.556","18,053","18,414","121,730"
"Illinois","00","Total for all sectors","Total","2007","229,079","288,797","5,355,328","5,355,780","31,231","10.846","29,512","10.249","779,812","271,507","508,305","5.069","14.560","780,892","253,211","527,681","4.728","14.580","−1,080","−0.020","29.120","18,281","18,564","117,465"
"Illinois","00","Total for all sectors","Total","2008","226,813","287,542","5,398,170","5,375,642","28,634","9.939","29,761","10.330","743,985","224,649","519,336","4.179","13.840","701,345","222,835","478,510","4.145","13.047","42,640","0.793","26.093","19,305","19,595","109,575"
"Illinois","00","Total for all sectors","Total","2009","221,513","281,680","5,072,722","5,241,363","25,091","8.802","31,880","11.183","534,616","194,382","340,234","3.709","10.200","870,519","236,153","634,366","4.506","16.609","−335,903","−6.409","20.400","20,006","20,378","125,166"
"Illinois","00","Total for all sectors","Total","2010","218,702","278,998","4,952,434","5,022,415","25,715","9.172","28,461","10.151","547,530","197,759","349,771","3.938","10.902","689,220","198,613","490,607","3.955","13.723","−141,690","−2.821","21.803","17,300","17,621","101,226"
"Illinois","00","Total for all sectors","Total","2011","218,264","278,916","5,027,801","4,991,246","27,105","9.716","27,207","9.753","621,377","187,315","434,062","3.753","12.449","547,197","178,669","368,528","3.580","10.963","74,180","1.486","21.926","16,864","17,380","88,768"
"Illinois","00","Total for all sectors","Total","2012","219,304","279,220","5,103,779","5,065,106","26,770","9.593","26,428","9.471","667,665","195,972","471,693","3.869","13.182","589,786","203,472","386,314","4.017","11.644","77,879","1.538","23.288","15,565","16,101","86,995"
"Illinois","00","Total for all sectors","Total","2013","219,160","279,427","5,167,473","5,135,850","26,358","9.438","26,076","9.337","637,463","197,663","439,800","3.849","12.412","575,347","191,691","383,656","3.732","11.203","62,116","1.209","22.405","16,009","16,303","98,810"
"Illinois","00","Total for all sectors","Total","2014","219,129","280,657","5,306,086","5,238,029","26,247","9.372","25,074","8.953","673,400","230,981","442,419","4.410","12.856","539,479","182,346","357,133","3.481","10.299","133,921","2.557","20.599","15,740","16,004","85,002"
"Illinois","00","Total for all sectors","Total","2015","220,584","282,498","5,369,393","5,318,569","26,779","9.510","24,941","8.858","710,011","203,346","506,665","3.823","13.350","607,857","221,621","386,236","4.167","11.429","102,154","1.921","22.858","15,269","15,672","85,708"
"Illinois","00","Total for all sectors","Total","2016","222,291","285,723","5,431,728","5,404,238","27,179","9.566","23,971","8.437","659,608","214,954","444,654","3.978","12.205","607,384","160,980","446,404","2.979","11.239","52,224","0.966","22.478","15,861","16,218","87,766"
"Illinois","00","Total for all sectors","Total","2017","222,145","286,036","5,433,575","5,427,274","25,792","9.022","25,482","8.913","669,815","211,004","458,811","3.888","12.342","657,353","228,437","428,916","4.209","12.112","12,462","0.230","24.224","16,004","16,477","115,036"
"Illinois","00","Total for all sectors","Total","2018","221,916","284,933","5,458,356","5,448,090","23,898","8.372","24,962","8.744","635,032","182,326","452,706","3.347","11.656","613,969","184,182","429,787","3.381","11.269","21,063","0.387","22.539","16,087","16,499","91,034"
"Illinois","00","Total for all sectors","Total","2019","221,797","285,279","5,493,282","5,478,807","24,562","8.614","24,252","8.506","600,439","174,296","426,143","3.181","10.959","573,464","176,422","397,042","3.220","10.467","26,975","0.492","20.934","17,152","17,530","97,347"
"Illinois","00","Total for all sectors","Total","2020","219,331","282,473","5,506,270","5,505,705","24,118","8.496","26,907","9.479","612,147","186,982","425,165","3.396","11.118","612,141","202,924","409,217","3.686","11.118","6","0.000","22.237","19,041","19,539","107,297"
"Indiana","00","Total for all sectors","Total","1978","81,353","97,919","1,786,885","1,733,868","12,759","13.229","9,820","10.181","302,242","90,244","211,998","5.205","17.432","196,675","66,302","130,373","3.824","11.343","105,567","6.089","22.686","6,669","6,758","34,065"
"Indiana","00","Total for all sectors","Total","1979","83,654","100,798","1,893,631","1,847,003","11,902","11.961","9,314","9.360","290,523","82,761","207,762","4.481","15.729","197,614","64,621","132,993","3.499","10.699","92,909","5.030","21.398","6,693","6,778","35,436"
"Indiana","00","Total for all sectors","Total","1980","83,602","101,166","1,810,577","1,850,919","10,911","10.803","10,586","10.481","214,626","76,668","137,958","4.142","11.596","295,672","67,807","227,865","3.663","15.974","−81,046","−4.379","23.191","7,624","7,714","35,262"
"Indiana","00","Total for all sectors","Total","1981","82,838","100,747","1,775,887","1,792,947","10,332","10.237","10,703","10.604","218,009","74,491","143,518","4.155","12.159","252,538","68,546","183,992","3.823","14.085","−34,529","−1.926","24.319","7,703","7,824","37,545"
"Indiana","00","Total for all sectors","Total","1982","81,514","99,718","1,691,708","1,733,831","10,264","10.239","11,315","11.288","202,385","66,743","135,642","3.849","11.673","286,332","72,045","214,287","4.155","16.514","−83,947","−4.842","23.345","7,941","8,063","38,980"
"Indiana","00","Total for all sectors","Total","1983","83,161","101,324","1,677,916","1,685,010","12,373","12.307","10,803","10.745","250,634","106,938","143,696","6.346","14.874","263,387","68,501","194,886","4.065","15.631","−12,753","−0.757","29.749","7,662","7,795","38,071"
"Indiana","00","Total for all sectors","Total","1984","85,794","104,208","1,793,184","1,736,090","14,163","13.776","11,366","11.055","326,034","116,175","209,859","6.692","18.780","211,632","94,621","117,011","5.450","12.190","114,402","6.590","24.380","8,553","8,680","50,346"
"Indiana","00","Total for all sectors","Total","1985","86,499","105,055","1,829,830","1,810,985","12,640","12.082","11,769","11.249","288,746","101,294","187,452","5.593","15.944","250,962","92,420","158,542","5.103","13.858","37,784","2.086","27.716","8,421","8,610","55,125"
"Indiana","00","Total for all sectors","Total","1986","88,087","107,432","1,879,497","1,855,144","13,277","12.499","10,866","10.229","293,397","108,853","184,544","5.868","15.815","244,467","81,058","163,409","4.369","13.178","48,930","2.638","26.356","7,750","7,921","48,821"
"Indiana","00","Total for all sectors","Total","1987","89,603","109,714","1,934,716","1,913,630","13,894","12.800","11,568","10.657","341,150","129,794","211,356","6.783","17.827","301,422","103,392","198,030","5.403","15.751","39,728","2.076","31.503","7,923","8,159","55,176"
"Indiana","00","Total for all sectors","Total","1988","91,469","112,551","2,008,310","1,968,779","13,778","12.392","11,054","9.942","339,648","119,747","219,901","6.082","17.252","261,103","88,666","172,437","4.504","13.262","78,545","3.990","26.524","7,627","7,780","51,796"
"Indiana","00","Total for all sectors","Total","1989","93,357","115,283","2,108,968","2,060,376","13,508","11.855","10,837","9.511","347,743","119,805","227,938","5.815","16.878","251,186","88,830","162,356","4.311","12.191","96,557","4.686","24.383","7,716","7,920","51,681"
"Indiana","00","Total for all sectors","Total","1990","95,096","117,810","2,157,919","2,134,747","13,284","11.397","10,783","9.251","315,535","107,146","208,389","5.019","14.781","268,866","81,608","187,258","3.823","12.595","46,669","2.186","25.189","7,814","8,002","49,173"
"Indiana","00","Total for all sectors","Total","1991","95,108","119,291","2,108,141","2,128,758","13,309","11.233","11,699","9.874","289,993","113,253","176,740","5.320","13.623","332,519","102,522","229,997","4.816","15.620","−42,526","−1.998","27.245","8,283","8,482","64,241"
"Indiana","00","Total for all sectors","Total","1992","95,700","120,590","2,157,448","2,141,151","12,845","10.716","11,403","9.513","344,384","121,197","223,187","5.660","16.084","313,495","94,735","218,760","4.424","14.641","30,889","1.443","29.283","7,636","7,799","50,156"
"Indiana","00","Total for all sectors","Total","1993","97,875","122,595","2,220,514","2,189,751","12,551","10.323","10,522","8.654","330,440","93,284","237,156","4.260","15.090","270,288","80,521","189,767","3.677","12.343","60,152","2.747","24.687","7,104","7,295","43,220"
"Indiana","00","Total for all sectors","Total","1994","100,067","125,589","2,281,658","2,257,548","13,351","10.752","10,506","8.461","330,444","105,209","225,235","4.660","14.637","282,104","92,599","189,505","4.102","12.496","48,340","2.141","24.992","7,355","7,629","48,726"
"Indiana","00","Total for all sectors","Total","1995","102,289","128,798","2,374,083","2,327,158","14,233","11.191","11,007","8.654","358,539","122,463","236,076","5.262","15.407","264,751","87,231","177,520","3.748","11.377","93,788","4.030","22.753","7,739","7,990","47,421"
"Indiana","00","Total for all sectors","Total","1996","103,016","130,288","2,378,534","2,369,077","13,679","10.576","11,773","9.103","343,033","129,661","213,372","5.473","14.480","323,578","100,546","223,032","4.244","13.658","19,455","0.821","27.317","8,194","8,435","54,239"
"Indiana","00","Total for all sectors","Total","1997","103,469","131,362","2,434,967","2,409,302","14,086","10.767","13,009","9.944","379,886","120,824","259,062","5.015","15.767","328,940","117,390","211,550","4.872","13.653","50,946","2.115","27.306","8,710","8,985","60,076"
"Indiana","00","Total for all sectors","Total","1998","104,511","133,021","2,533,572","2,501,522","13,255","10.011","12,010","9.071","373,327","126,862","246,465","5.071","14.924","308,246","97,241","211,005","3.887","12.322","65,081","2.602","24.645","7,941","8,139","49,686"
"Indiana","00","Total for all sectors","Total","1999","104,298","133,593","2,585,132","2,560,826","12,578","9.434","12,051","9.039","366,416","117,801","248,615","4.600","14.309","317,445","103,174","214,271","4.029","12.396","48,971","1.912","24.792","8,215","8,437","55,704"
"Indiana","00","Total for all sectors","Total","2000","103,855","133,668","2,684,280","2,636,191","12,544","9.385","12,531","9.375","399,504","118,405","281,099","4.492","15.155","304,764","100,463","204,301","3.811","11.561","94,740","3.594","23.122","8,129","8,400","48,998"
"Indiana","00","Total for all sectors","Total","2001","103,096","133,107","2,593,259","2,627,102","12,539","9.403","13,014","9.760","334,659","114,619","220,040","4.363","12.739","400,805","134,816","265,989","5.132","15.257","−66,146","−2.518","25.477","7,971","8,257","61,381"
"Indiana","00","Total for all sectors","Total","2002","103,338","133,863","2,532,020","2,572,700","14,321","10.711","14,007","10.476","375,340","151,509","223,831","5.889","14.589","455,618","139,108","316,510","5.407","17.710","−80,278","−3.120","29.179","7,957","8,312","63,252"
"Indiana","00","Total for all sectors","Total","2003","104,380","135,210","2,557,760","2,544,852","13,146","9.773","11,759","8.742","372,308","116,891","255,417","4.593","14.630","345,630","113,543","232,087","4.462","13.582","26,678","1.048","27.163","7,583","7,825","51,450"
"Indiana","00","Total for all sectors","Total","2004","104,770","136,188","2,587,918","2,573,121","13,048","9.615","12,074","8.898","353,842","112,974","240,868","4.391","13.751","323,095","110,985","212,110","4.313","12.557","30,747","1.195","25.113","7,866","8,123","51,563"
"Indiana","00","Total for all sectors","Total","2005","104,870","136,834","2,613,129","2,600,931","13,013","9.532","12,371","9.062","338,610","115,312","223,298","4.433","13.019","315,316","95,371","219,945","3.667","12.123","23,294","0.896","24.246","8,129","8,375","53,248"
"Indiana","00","Total for all sectors","Total","2006","105,873","139,144","2,667,214","2,641,905","14,927","10.817","12,622","9.147","368,528","130,153","238,375","4.926","13.949","317,170","98,300","218,870","3.721","12.005","51,358","1.944","24.011","8,208","8,381","49,466"
"Indiana","00","Total for all sectors","Total","2007","105,735","139,821","2,638,895","2,652,795","14,204","10.186","13,453","9.647","366,079","123,440","242,639","4.653","13.800","394,527","118,295","276,232","4.459","14.872","−28,448","−1.072","27.599","8,571","8,754","56,705"
"Indiana","00","Total for all sectors","Total","2008","104,248","138,295","2,602,879","2,620,688","12,342","8.877","13,822","9.941","328,180","100,906","227,274","3.850","12.523","364,825","116,025","248,800","4.427","13.921","−36,645","−1.398","25.045","8,919","9,145","60,159"
"Indiana","00","Total for all sectors","Total","2009","101,309","135,122","2,441,810","2,523,792","10,496","7.667","14,037","10.254","260,309","86,409","173,900","3.424","10.314","424,635","111,325","313,310","4.411","16.825","−164,326","−6.511","20.628","9,005","9,268","58,111"
"Indiana","00","Total for all sectors","Total","2010","99,564","133,424","2,403,508","2,422,767","10,312","7.679","12,033","8.961","274,430","87,265","187,165","3.602","11.327","313,210","87,531","225,679","3.613","12.928","−38,780","−1.601","22.654","7,614","7,804","45,206"
"Indiana","00","Total for all sectors","Total","2011","98,487","132,716","2,436,035","2,419,455","10,987","8.257","11,691","8.786","291,649","80,248","211,401","3.317","12.054","257,366","78,247","179,119","3.234","10.637","34,283","1.417","21.275","7,369","7,701","40,725"
"Indiana","00","Total for all sectors","Total","2012","98,563","132,823","2,506,936","2,471,486","11,292","8.505","11,170","8.414","335,897","94,726","241,171","3.833","13.591","265,112","82,604","182,508","3.342","10.727","70,785","2.864","21.454","6,654","6,880","40,911"
"Indiana","00","Total for all sectors","Total","2013","97,989","132,290","2,545,897","2,527,383","10,342","7.803","10,850","8.186","302,235","82,449","219,786","3.262","11.958","265,365","78,907","186,458","3.122","10.500","36,870","1.459","20.999","6,783","6,885","41,387"
"Indiana","00","Total for all sectors","Total","2014","97,386","132,289","2,607,915","2,576,711","10,615","8.024","10,616","8.025","309,403","86,966","222,437","3.375","12.008","247,361","74,806","172,555","2.903","9.600","62,042","2.408","19.200","6,666","6,784","40,103"
"Indiana","00","Total for all sectors","Total","2015","97,699","133,800","2,671,133","2,638,862","11,540","8.674","10,024","7.534","329,471","98,865","230,606","3.747","12.485","264,114","73,742","190,372","2.794","10.009","65,357","2.477","20.017","6,282","6,472","38,507"
"Indiana","00","Total for all sectors","Total","2016","98,257","135,943","2,728,531","2,700,420","11,530","8.548","9,418","6.982","321,434","99,799","221,635","3.696","11.903","265,262","68,549","196,713","2.538","9.823","56,172","2.080","19.646","6,275","6,458","38,312"
"Indiana","00","Total for all sectors","Total","2017","98,614","136,481","2,781,936","2,753,859","10,792","7.923","10,256","7.529","355,739","95,436","260,303","3.466","12.918","299,777","90,324","209,453","3.280","10.886","55,962","2.032","21.771","6,225","6,376","44,328"
"Indiana","00","Total for all sectors","Total","2018","98,986","136,514","2,814,555","2,799,900","10,488","7.684","10,440","7.649","330,688","86,146","244,542","3.077","11.811","301,882","99,215","202,667","3.544","10.782","28,806","1.029","21.564","6,538","6,856","54,726"
"Indiana","00","Total for all sectors","Total","2019","99,032","137,379","2,839,093","2,829,535","10,463","7.639","9,626","7.028","283,856","75,701","208,155","2.675","10.032","263,454","71,426","192,028","2.524","9.311","20,402","0.721","18.622","6,846","7,057","40,942"
"Indiana","00","Total for all sectors","Total","2020","98,218","136,320","2,826,659","2,834,123","10,493","7.667","11,561","8.448","296,888","88,859","208,029","3.135","10.475","311,773","100,863","210,910","3.559","11.001","−14,885","−0.525","20.951","7,689","7,932","49,571"
"Iowa","00","Total for all sectors","Total","1978","55,848","65,377","870,988","842,358","8,496","13.192","6,546","10.164","160,470","52,595","107,875","6.244","19.050","102,873","37,513","65,360","4.453","12.213","57,597","6.838","24.425","4,687","4,737","22,756"
"Iowa","00","Total for all sectors","Total","1979","56,769","66,541","909,920","891,783","7,711","11.675","6,726","10.183","146,075","47,633","98,442","5.341","16.380","109,756","38,565","71,191","4.324","12.307","36,319","4.073","24.615","4,931","4,983","24,180"
"Iowa","00","Total for all sectors","Total","1980","56,702","66,786","896,872","901,866","7,165","10.744","6,968","10.449","119,539","41,345","78,194","4.584","13.255","129,779","36,664","93,115","4.065","14.390","−10,240","−1.135","26.509","5,279","5,312","23,949"
"Iowa","00","Total for all sectors","Total","1981","56,392","66,759","876,216","886,309","6,873","10.297","6,844","10.254","121,889","59,870","62,019","6.755","13.752","141,994","48,415","93,579","5.463","16.021","−20,105","−2.268","27.505","5,248","5,332","23,073"
"Iowa","00","Total for all sectors","Total","1982","54,661","65,177","834,138","855,434","6,243","9.462","7,847","11.893","103,411","38,241","65,170","4.470","12.089","145,550","43,234","102,316","5.054","17.015","−42,139","−4.926","24.177","5,759","5,814","26,524"
"Iowa","00","Total for all sectors","Total","1983","54,836","65,369","837,881","836,998","6,829","10.459","6,673","10.220","147,119","73,294","73,825","8.757","17.577","147,012","47,629","99,383","5.690","17.564","107","0.013","35.128","4,829","4,877","22,468"
"Iowa","00","Total for all sectors","Total","1984","55,933","66,634","870,273","854,141","7,726","11.702","6,505","9.853","134,374","45,323","89,051","5.306","15.732","102,473","35,080","67,393","4.107","11.997","31,901","3.735","23.994","4,808","4,888","21,851"
"Iowa","00","Total for all sectors","Total","1985","54,538","65,154","843,557","856,671","6,550","9.940","8,028","12.183","119,712","40,046","79,666","4.675","13.974","144,476","75,232","69,244","8.782","16.865","−24,764","−2.891","27.948","5,896","5,991","28,762"
"Iowa","00","Total for all sectors","Total","1986","53,651","64,424","855,380","850,651","6,501","10.032","7,261","11.205","134,535","52,865","81,670","6.215","15.816","125,356","47,043","78,313","5.530","14.736","9,179","1.079","29.473","5,180","5,277","27,435"
"Iowa","00","Total for all sectors","Total","1987","53,388","64,347","882,166","878,757","7,025","10.911","7,096","11.022","147,339","58,369","88,970","6.642","16.767","138,839","49,644","89,195","5.649","15.799","8,500","0.967","31.599","4,788","4,854","26,025"
